iter	RMSE
0	11574.76993
1	10868.42751
2	10327.19214
3	9764.558224
4	9235.001846
5	8819.86605
6	8385.601518
7	7947.81591
8	7512.287891
9	7156.648511
10	6904.428865
11	6658.623981
12	6414.4331
13	6153.624951
14	5958.22523
15	5780.203383
16	5614.718179
17	5454.613601
18	5305.997293
19	5160.732202
20	5045.353457
21	4950.296142
22	4879.075764
23	4766.766491
24	4666.595851
25	4588.578372
26	4526.7618
27	4482.532905
28	4405.475009
29	4351.252305
30	4281.181209
31	4224.363598
32	4183.356939
33	4155.472514
34	4111.005563
35	4067.34197
36	4019.119228
37	3980.038158
38	3954.633426
39	3916.999722
40	3884.537623
41	3850.998343
42	3825.863978
43	3795.204384
44	3764.944829
45	3757.573576
46	3736.781096
47	3721.301847
48	3693.216436
49	3670.81467
