iter	Passed	Remaining
0	10	494
1	15	361
2	24	378
3	32	377
4	46	420
5	55	408
6	63	390
7	70	370
8	73	337
9	81	327
10	90	321
11	102	325
12	112	320
13	116	298
14	120	280
15	123	262
16	125	244
17	127	227
18	129	211
19	132	199
20	133	184
21	134	171
22	135	159
23	137	148
24	139	139
25	142	131
26	144	122
27	145	114
28	146	106
29	148	99
30	150	92
31	153	86
32	155	79
33	156	73
34	157	67
35	159	61
36	160	56
37	166	52
38	168	47
39	169	42
40	171	37
41	173	33
42	176	28
43	178	24
44	179	19
45	180	15
46	182	11
47	183	7
48	185	3
49	188	0
